ROW,DATE,AGENCY/ΦΟΡΕΑΣ,PROTOCOL#/ΑΡ.ΠΡΩΤ.,SUBJECT/ΘΕΜΑ,DIRECTION,STATUS,RESPONSE DUE,ACTION NEEDED,NOTES
247,26/02/2026,Συμβολαιογραφικός Σύλλογος Πειραιά,Πρωτ. 207/26-02-2026,Επιστολή Συλλόγου — Διαβίβαση απάντησης Λυράκη Πρωτ. 2/2026,INBOUND,RECEIVED,—,Archive & cross-reference with Πρωτ. 166/13-02-2026,Σύλλογος forwarded Lyrakis response (Πρωτ. 2/2026). Contains denial of wrongdoing re: Σύμβαση 6020. Evidence of irregularity — ψιλή κυριότητα vs πλήρης κυριότητα discrepancy. CRITICAL.
248,03/03/2026,Εισαγγελία Πρωτοδικών Πειραιώς,EISAGGELIKI-258b,Αίτηση Εισαγγελικής Παραγγελίας κατ' Άρθρο 13 Ν. 2830/2000 — Υπόθεση Λυράκη / Σύμβαση 6020,OUTBOUND,SENT,02/04/2026,Monitor for acknowledgment — 30-day response window,Sent 03/03/2026 ~22:00 EST. 5/6 recipients delivered. report@eppo.europa.eu bounced. 16 attachments. CRITICAL.
249,03/03/2026,Συνήγορος του Πολίτη,contact@synigoros.gr,ΚΑΤΑΓΓΕΛΙΑ — Διοικητική Αδράνεια & ΑΦΜ Κατάχρηση | Protocol SYNIGOROS-258-MISMATCH,OUTBOUND,SENT,17/04/2026,Monitor for acknowledgment,UPDATED DRAFT→SENT 04/03/2026 06:20 EST via Gmail. TO: contact@synigoros.gr CC: info@synigoros.gr. 4 violations. HIGH.
250,03/03/2026,EPPO,info@eppo.europa.eu,UPDATE — EPPO PP.00179 | New Protocols 253–258 | Justice-for-John Case,OUTBOUND,SENT,17/03/2026,Monitor for case update acknowledgment,UPDATED DRAFT→SENT 04/03/2026 06:18 EST via Gmail. 8 new protocols. EPPO Reg 2017/1939 Art.22. NORMAL.
251,03/03/2026,AEAD / ΕΑΔ,dms@aead.gr,ΚΑΤΑΓΓΕΛΙΑ — Πλαστογραφία Κτηματολογίου & KDD Τριάδα | KAEK 050681726008,OUTBOUND,SENT,17/03/2026,Monitor 30-day response deadline 04/04/2026,UPDATED DRAFT→SENT 04/03/2026 06:18 EST via Gmail. KDD triad complaint. NORMAL.
252,03/03/2026,Zeus AI Evidence System,PROTOCOL-258,System update — Protocol 258 series compilation & evidence package,INTERNAL,COMPLETED,—,No action required,Automated compilation of Protocol 258 series. CRITICAL.
253,03/03/2026,Εισαγγελία Πρωτοδικών Πειραιώς,EISAGGELIKI-258b-EMAIL,Αίτηση Εισαγγελικής Παραγγελίας — Email confirmation to Εισαγγελία,OUTBOUND,SENT,02/04/2026,Monitor delivery confirmation,Email copy sent ~22:00 EST. 5/6 delivered. CRITICAL.
254,03/03/2026,Αποκεντρωμένη Διοίκηση Αττικής,ATTICA-FORWARD-258b,Συμπληρωματική Ενημέρωση — Forward of Εισαγγελική Παραγγελία to Αποκεντρωμένη,OUTBOUND,SENT,—,Monitor for acknowledgment,Forwarded ~22:34 EST. 16 attachments. HIGH.
255,04/03/2026,Αποκεντρωμένη Διοίκηση Αττικής,Πρωτ. 14678/04-03-2026,Βεβαίωση Καταχώρησης — Αίτηση Εισαγγελικής Παραγγελίας,INBOUND,CONFIRMED,—,Archive — routed to Τ. Εποπτείας Ο.Τ.Α.,Confirmed 04/03/2026 07:35 Athens. 3hr turnaround. CRITICAL.
256,04/03/2026,Zeus AI Evidence System,PROTOCOL-14678-UPDATE,System update — Protocol 14678 confirmation & tracker sync,INTERNAL,COMPLETED,—,No action required,All systems updated with Πρωτ. 14678. NORMAL.
257,04/03/2026,Εισαγγελία Πρωτοδικών Πειραιώς,EISAGGELIKI-258b-FILED,Αίτηση Εισαγγελικής Παραγγελίας — Filing confirmed across all systems,OUTBOUND,SENT,02/04/2026,Monitor 30-day response — escalate if silent,Filing chain complete: 22:00→22:34→07:35 Athens. CRITICAL.
