ROW,DATE,AGENCY/ΦΟΡΕΑΣ,PROTOCOL#/ΑΡ.ΠΡΩΤ.,SUBJECT/ΘΕΜΑ,DIRECTION,STATUS,RESPONSE DUE,ACTION NEEDED,NOTES
247,26/02/2026,Συμβολαιογραφικός Σύλλογος Πειραιά,Πρωτ. 207/26-02-2026,Επιστολή Συλλόγου — Διαβίβαση απάντησης Λυράκη Πρωτ. 2/2026,INBOUND,RECEIVED,—,Archive & cross-reference with Πρωτ. 166/13-02-2026,Σύλλογος forwarded Lyrakis response (Πρωτ. 2/2026). Contains denial of wrongdoing re: Σύμβαση 6020. Evidence of irregularity — ψιλή κυριότητα vs πλήρης κυριότητα discrepancy. CRITICAL.
248,03/03/2026,Εισαγγελία Πρωτοδικών Πειραιώς,EISAGGELIKI-258b,Αίτηση Εισαγγελικής Παραγγελίας κατ' Άρθρο 13 Ν. 2830/2000 — Υπόθεση Λυράκη / Σύμβαση 6020,OUTBOUND,SENT,02/04/2026,Monitor for acknowledgment — 30-day response window,Sent 03/03/2026 ~22:00 EST. 5/6 recipients delivered. 16 attachments incl. KAEK sheets + death cert. CRITICAL.
249,03/03/2026,Συνήγορος του Πολίτη,contact@synigoros.gr,ΚΑΤΑΓΓΕΛΙΑ — Διοικητική Αδράνεια & ΑΦΜ Κατάχρηση | Protocol SYNIGOROS-258-MISMATCH,OUTBOUND,DRAFT,17/04/2026,Finalize & send Ombudsman complaint,Covers 4 violations: ΑΑΔΕ/ΔΕΣΥΠ obstruction + ΕΦΚΑ 1721-day delay + KAEK forgery + Αποκεντρωμένη Αττικής routing. HIGH.
250,03/03/2026,EPPO,info@eppo.europa.eu,UPDATE — EPPO PP.00179 | New Protocols 253–258 | Justice-for-John Case,OUTBOUND,DRAFT,17/03/2026,Update PP.00179 with protocols 253-257 + DESYP 161184/161217,Cross-references KAEK 050681726008 + AFM targets 044594747/051422558 + FBI IC3/IRS F3949A + EFKA 1721-day delay. NORMAL.
251,03/03/2026,AEAD / ΕΑΔ,dms@aead.gr,ΚΑΤΑΓΓΕΛΙΑ — Πλαστογραφία Κτηματολογίου & KDD Τριάδα | KAEK 050681726008,OUTBOUND,DRAFT,17/03/2026,File EAD cadastral forgery + KDD triad + DESYP 161217 link,Triple KDD triad (ΔΕΣΥΠ + ΕΦΚΑ + Κτηματολόγιο). Request KAEK 050681726008 freeze. NORMAL.
252,03/03/2026,Zeus AI Evidence System,PROTOCOL-258,System update — Protocol 258 series compilation,INTERNAL,COMPLETED,—,No action required,Automated compilation of Protocol 258 series. CRITICAL.
253,03/03/2026,Εισαγγελία Πρωτοδικών Πειραιώς,EISAGGELIKI-258b-EMAIL,Αίτηση Εισαγγελικής Παραγγελίας — Email confirmation,OUTBOUND,SENT,02/04/2026,Monitor delivery confirmation,Email sent ~22:00 EST. 5/6 delivered. CRITICAL.
254,03/03/2026,Αποκεντρωμένη Διοίκηση Αττικής,ATTICA-FORWARD-258b,Συμπληρωματική Ενημέρωση — Forward to Αποκεντρωμένη,OUTBOUND,SENT,—,Monitor for acknowledgment,Forwarded to protokollo@attica.gr ~22:34 EST. 16 attachments. Refs Πρωτ. 11494 & 11676/2026. HIGH.
255,04/03/2026,Αποκεντρωμένη Διοίκηση Αττικής,Πρωτ. 14678/04-03-2026,Βεβαίωση Καταχώρησης — Αίτηση Εισαγγελικής Παραγγελίας,INBOUND,CONFIRMED,—,Archive — routed to Τ. Εποπτείας Ο.Τ.Α.,Confirmed 04/03/2026 07:35 Athens. Connected to Πρωτ. 11494/11676/2026. CRITICAL.
256,04/03/2026,Zeus AI Evidence System,PROTOCOL-14678-UPDATE,System update — Protocol 14678 confirmation,INTERNAL,COMPLETED,—,No action required,All systems synced with Πρωτ. 14678. NORMAL.
257,04/03/2026,Εισαγγελία Πρωτοδικών Πειραιώς,EISAGGELIKI-258b-FILED,Filing confirmed across all systems,OUTBOUND,SENT,02/04/2026,Monitor 30-day response — escalate if silent,Filing chain: 22:00→22:34→07:35 Athens. All systems synced. CRITICAL.
258,04/03/2026,Zeus AI Evidence System,PROTOCOL-258-FINALIZED,Protocol 258 series finalized & all systems synced,INTERNAL,COMPLETED,—,No action required,Final sync: Notion (266 protocols) + GitHub + n8n v2.5 (13 cases). NORMAL.
